Buchungsdatum;Material;Materialbezeichnung;Werk;Bewegungsart;Menge;Mengeneinheit;Betrag;Waehrung;Kostenstelle;Charge;Lagerort
15.01.2024;DIESEL-001;Dieselkraftstoff;1010;201;2500;L;193750.00;INR;COST-MFGA;BT2024001;LG01
16.01.2024;HSD-FUEL;High Speed Diesel;1010;261;1800;L;139500.00;INR;COST-MFGB;BT2024002;LG01
17.01.2024;PETROL-002;Benzin;2030;201;950;L;85500.00;INR;COST-GEN;BT2024003;LG02
18.01.2024;LPG-IND;Fluessiggas Industrie;1010;201;320;KG;38400.00;INR;COST-UTIL;BT2024004;LG03
19.01.2024;DIESEL-001;Dieselkraftstoff;3050;201;3100;L;240250.00;INR;COST-MFGA;;LG01
22.01.2024;HSD-FUEL;High Speed Diesel;2030;261;2200;L;170500.00;INR;COST-MFGB;BT2024005;LG02
23.01.2024;FURNACE-OIL;Heizoelf;1010;201;1500;KG;202500.00;INR;COST-UTIL;BT2024006;LG03
24.01.2024;DIESEL-001;Dieselkraftstoff;1010;201;2800;L;217000.00;INR;COST-MFGA;BT2024007;LG01
25.01.2024;PETROL-002;Benzin;3050;201;600;L;54000.00;INR;COST-GEN;;LG02
26.01.2024;LPG-IND;Fluessiggas Industrie;2030;201;480;KG;57600.00;INR;COST-UTIL;BT2024008;LG03
29.01.2024;DIESEL-001;Dieselkraftstoff;1010;261;3500;L;271250.00;INR;COST-MFGB;BT2024009;LG01
30.01.2024;HSD-FUEL;High Speed Diesel;3050;201;1900;L;147250.00;INR;COST-MFGA;BT2024010;LG01
31.01.2024;FURNACE-OIL;Heizoelf;1010;201;2000;KG;270000.00;INR;COST-UTIL;;LG03
01.02.2024;DIESEL-001;Dieselkraftstoff;1010;201;2600;L;201500.00;INR;COST-MFGA;BT2024011;LG01
02.02.2024;LPG-IND;Fluessiggas Industrie;1010;201;510;KG;61200.00;INR;COST-UTIL;BT2024012;LG03
05.02.2024;HSD-FUEL;High Speed Diesel;2030;261;2100;L;162750.00;INR;COST-MFGB;BT2024013;LG02
06.02.2024;DIESEL-001;Dieselkraftstoff;3050;201;2900;L;224750.00;INR;COST-MFGA;BT2024014;LG01
07.02.2024;PETROL-002;Benzin;1010;201;820;L;73800.00;INR;COST-GEN;;LG02
08.02.2024;FURNACE-OIL;Heizoelf;2030;201;1750;KG;236250.00;INR;COST-UTIL;BT2024015;LG03
09.02.2024;DIESEL-001;Dieselkraftstoff;1010;261;3200;L;248000.00;INR;COST-MFGB;BT2024016;LG01
12.02.2024;HSD-FUEL;High Speed Diesel;1010;201;2400;L;186000.00;INR;COST-MFGA;BT2024017;LG01
13.02.2024;LPG-IND;Fluessiggas Industrie;3050;201;390;KG;46800.00;INR;COST-UTIL;BT2024018;LG03
14.02.2024;DIESEL-001;Dieselkraftstoff;2030;201;2750;L;213125.00;INR;COST-MFGA;;LG01
15.02.2024;PETROL-002;Benzin;1010;201;710;L;63900.00;INR;COST-GEN;BT2024019;LG02
16.02.2024;FURNACE-OIL;Heizoelf;1010;201;1900;KG;256500.00;INR;COST-UTIL;BT2024020;LG03
19.02.2024;DIESEL-001;Dieselkraftstoff;1010;201;3100;L;240250.00;INR;COST-MFGB;BT2024021;LG01
20.02.2024;HSD-FUEL;High Speed Diesel;3050;261;2000;L;155000.00;INR;COST-MFGA;BT2024022;LG01
21.02.2024;LPG-IND;Fluessiggas Industrie;1010;201;560;KG;67200.00;INR;COST-UTIL;;LG03
22.02.2024;DIESEL-001;Dieselkraftstoff;1010;201;2650;L;205375.00;INR;COST-MFGA;BT2024023;LG01
23.02.2024;PETROL-002;Benzin;2030;201;880;L;79200.00;INR;COST-GEN;BT2024024;LG02
26.02.2024;FURNACE-OIL;Heizoelf;1010;201;2100;KG;283500.00;INR;COST-UTIL;BT2024025;LG03
27.02.2024;DIESEL-001;Dieselkraftstoff;3050;261;3300;L;255750.00;INR;COST-MFGB;BT2024026;LG01
28.02.2024;HSD-FUEL;High Speed Diesel;1010;201;2250;L;174375.00;INR;COST-MFGA;BT2024027;LG01
01.03.2024;DIESEL-001;Dieselkraftstoff;1010;201;2700;L;209250.00;INR;COST-MFGA;;LG01
04.03.2024;LPG-IND;Fluessiggas Industrie;2030;201;430;KG;51600.00;INR;COST-UTIL;BT2024028;LG03
05.03.2024;HSD-FUEL;High Speed Diesel;1010;261;2350;L;182125.00;INR;COST-MFGB;BT2024029;LG01
06.03.2024;DIESEL-001;Dieselkraftstoff;2030;201;2950;L;228625.00;INR;COST-MFGA;BT2024030;LG01
07.03.2024;FURNACE-OIL;Heizoelf;3050;201;1650;KG;222750.00;INR;COST-UTIL;BT2024031;LG03
08.03.2024;PETROL-002;Benzin;1010;201;760;L;68400.00;INR;COST-GEN;BT2024032;LG02
11.03.2024;DIESEL-001;Dieselkraftstoff;1010;201;3050;L;236375.00;INR;COST-MFGB;;LG01
12.03.2024;HSD-FUEL;High Speed Diesel;2030;201;2150;L;166625.00;INR;COST-MFGA;BT2024033;LG01
13.03.2024;LPG-IND;Fluessiggas Industrie;1010;201;620;KG;74400.00;INR;COST-UTIL;BT2024034;LG03
14.03.2024;DIESEL-001;Dieselkraftstoff;1010;261;2850;L;220875.00;INR;COST-MFGB;BT2024035;LG01
15.03.2024;FURNACE-OIL;Heizoelf;1010;201;9800;KG;1323000.00;INR;COST-UTIL;BT2024036;LG03
18.03.2024;PETROL-002;Benzin;3050;201;690;L;62100.00;INR;COST-GEN;BT2024037;LG02
19.03.2024;DIESEL-001;Dieselkraftstoff;1010;201;2800;L;217000.00;INR;COST-MFGA;BT2024038;LG01
20.03.2024;HSD-FUEL;High Speed Diesel;1010;261;2050;L;158875.00;INR;COST-MFGB;;LG01
21.03.2024;LPG-IND;Fluessiggas Industrie;2030;201;500;KG;60000.00;INR;COST-UTIL;BT2024039;LG03
22.03.2024;DIESEL-001;Dieselkraftstoff;3050;201;3150;L;244125.00;INR;COST-MFGA;BT2024040;LG01
