Account Number,Consumer Name,Meter ID,Meter Type,Billing Period Start,Billing Period End,Units Consumed (kWh),Maximum Demand (kVA),Power Factor,Sanctioned Load (kVA),Supply Voltage,Tariff Category,Energy Charges (INR),Demand Charges (INR),Fixed Charges (INR),Total Amount (INR),Arrears (INR),Subsidy (INR),Net Payable (INR),Reading Date,Previous Reading (kWh),Present Reading (kWh),DT Code,Feeder Name
ACC-MH-00412,Acme Manufacturing Pvt Ltd,MTR-99210,HT-Trivector,03/01/2024,06/02/2024,187400,580,0.94,600,11kV,HT-I (Industry),1311800.00,290000.00,12000.00,1613800.00,0.00,0.00,1613800.00,06/02/2024,2847600,3035000,DT-0091,MIDC-Pune-North
ACC-MH-00412,Acme Manufacturing Pvt Ltd,MTR-99210,HT-Trivector,07/02/2024,07/03/2024,162300,560,0.93,600,11kV,HT-I (Industry),1136100.00,280000.00,12000.00,1428100.00,0.00,0.00,1428100.00,07/03/2024,3035000,3197300,DT-0091,MIDC-Pune-North
ACC-MH-00412,Acme Manufacturing Pvt Ltd,MTR-99210,HT-Trivector,08/03/2024,08/04/2024,174800,575,0.95,600,11kV,HT-I (Industry),1223600.00,287500.00,12000.00,1523100.00,0.00,0.00,1523100.00,08/04/2024,3197300,3372100,DT-0091,MIDC-Pune-North
ACC-MH-00413,Acme Manufacturing Pvt Ltd,MTR-99211,HT-Trivector,05/01/2024,04/02/2024,84200,320,0.91,350,11kV,HT-I (Industry),589400.00,160000.00,8000.00,757400.00,12400.00,0.00,769800.00,04/02/2024,1042800,1127000,DT-0091,MIDC-Pune-North
ACC-MH-00413,Acme Manufacturing Pvt Ltd,MTR-99211,HT-Trivector,05/02/2024,05/03/2024,91500,340,0.92,350,11kV,HT-I (Industry),640500.00,170000.00,8000.00,818500.00,0.00,0.00,818500.00,05/03/2024,1127000,1218500,DT-0091,MIDC-Pune-North
ACC-MH-00413,Acme Manufacturing Pvt Ltd,MTR-99211,HT-Trivector,06/03/2024,06/04/2024,79600,310,0.90,350,11kV,HT-I (Industry),557200.00,155000.00,8000.00,720200.00,0.00,0.00,720200.00,06/04/2024,1218500,1298100,DT-0091,MIDC-Pune-North
ACC-MH-00414,Acme Manufacturing Pvt Ltd,MTR-99212,LT-Trivector,02/01/2024,01/02/2024,12400,48,0.88,50,415V,LT-II (Commercial),99200.00,0.00,2400.00,101600.00,0.00,0.00,101600.00,01/02/2024,482100,494500,DT-0091,MIDC-Pune-North
ACC-MH-00414,Acme Manufacturing Pvt Ltd,MTR-99212,LT-Trivector,02/02/2024,03/03/2024,13100,51,0.87,50,415V,LT-II (Commercial),104800.00,0.00,2400.00,107200.00,0.00,0.00,107200.00,03/03/2024,494500,507600,DT-0091,MIDC-Pune-North
ACC-MH-00414,Acme Manufacturing Pvt Ltd,MTR-99212,LT-Trivector,04/03/2024,02/04/2024,11800,46,0.89,50,415V,LT-II (Commercial),94400.00,0.00,2400.00,96800.00,0.00,0.00,96800.00,02/04/2024,507600,519400,DT-0091,MIDC-Pune-North
ACC-GJ-00501,Acme Manufacturing Pvt Ltd,MTR-88401,HT-Trivector,08/01/2024,07/02/2024,221600,710,0.96,750,33kV,HT-I (Industry),1551200.00,355000.00,15000.00,1921200.00,0.00,18500.00,1902700.00,07/02/2024,6124000,6345600,DT-0205,GIDC-Surat-Phase2
ACC-GJ-00501,Acme Manufacturing Pvt Ltd,MTR-88401,HT-Trivector,08/02/2024,09/03/2024,198400,690,0.95,750,33kV,HT-I (Industry),1388800.00,345000.00,15000.00,1748800.00,0.00,18500.00,1730300.00,09/03/2024,6345600,6544000,DT-0205,GIDC-Surat-Phase2
ACC-GJ-00501,Acme Manufacturing Pvt Ltd,MTR-88401,HT-Trivector,10/03/2024,09/04/2024,234100,730,0.96,750,33kV,HT-I (Industry),1638700.00,365000.00,15000.00,2018700.00,0.00,18500.00,2000200.00,09/04/2024,6544000,6778100,DT-0205,GIDC-Surat-Phase2
ACC-GJ-00502,Acme Manufacturing Pvt Ltd,MTR-88402,HT-Trivector,10/01/2024,09/02/2024,0,0,0.00,200,11kV,HT-I (Industry),0.00,0.00,8000.00,8000.00,0.00,0.00,8000.00,09/02/2024,3281400,3281400,DT-0205,GIDC-Surat-Phase2
ACC-GJ-00502,Acme Manufacturing Pvt Ltd,MTR-88402,HT-Trivector,10/02/2024,11/03/2024,118700,420,0.93,200,11kV,HT-I (Industry),830900.00,210000.00,8000.00,1048900.00,8000.00,0.00,1056900.00,11/03/2024,3281400,3400100,DT-0205,GIDC-Surat-Phase2
ACC-GJ-00502,Acme Manufacturing Pvt Ltd,MTR-88402,HT-Trivector,12/03/2024,11/04/2024,127300,440,0.94,200,11kV,HT-I (Industry),891100.00,220000.00,8000.00,1119100.00,0.00,0.00,1119100.00,11/04/2024,3400100,3527400,DT-0205,GIDC-Surat-Phase2
